Methods, TO, OO, PO, HO, DS, SA, LD, DC, DD, DIS, SV, FM, DV, CM, MB, LI
HIPTrack, 31.4, 71.3, 60.4, 46.8, 59.9, 58.5, 60.3, 58.7, 63.1, 70.1, 60.2, 39.6, 65.9, 71.7, 72.6, 64.5, 
ODTrack, 29.6, 73.6, 53.0, 37.2, 52.6, 50.7, 50.5, 49.4, 61.2, 61.2, 54.4, 34.2, 62.9, 65.2, 63.1, 62.0, 
OKTrack, 21.4, 62.2, 41.8, 27.3, 39.8, 35.9, 44.1, 35.7, 49.2, 48.0, 47.5, 25.8, 48.9, 55.2, 53.6, 53.8, 
OSTrack, 14.8, 63.6, 35.8, 22.7, 34.4, 31.9, 36.5, 29.4, 40.6, 49.0, 42.6, 20.2, 43.8, 50.8, 51.1, 44.6, 
PUTrack, 25.4, 69.7, 51.0, 35.1, 51.3, 48.3, 53.0, 46.3, 56.8, 60.3, 52.8, 32.5, 52.4, 61.1, 60.6, 63.0, 
SBT, 4.2, 59.0, 19.1, 17.2, 18.2, 16.7, 21.0, 16.9, 30.8, 22.2, 31.8, 10.7, 26.2, 32.2, 30.9, 26.9, 
SMAT, 11.1, 58.7, 27.6, 15.8, 23.2, 23.7, 27.0, 20.5, 39.7, 28.4, 36.4, 18.3, 35.6, 46.7, 41.8, 38.2, 
UncTrack, 22.5, 37.9, 39.1, 29.4, 38.2, 36.6, 39.8, 35.1, 44.2, 47.3, 43.7, 22.8, 51.6, 48.1, 48.5, 52.1, 
UOSTrack, 13.2, 64.8, 34.7, 23.3, 33.1, 30.9, 36.1, 28.9, 42.6, 46.3, 42.8, 22.3, 44.3, 50.5, 50.7, 45.1, 
