Methods, TO, OO, PO, HO, DS, SA, LD, DC, DD, DIS, SV, FM, DV, CM, MB, LI
HIPTrack, 40.6, 80.3, 71.8, 57.5, 72.3, 70.5, 71.8, 72.3, 71.5, 83.2, 74.3, 40.6, 76.0, 81.4, 83.9, 75.0, 
ODTrack, 38.2, 82.2, 61.5, 40.5, 63.1, 59.9, 59.7, 60.6, 69.5, 73.6, 66.6, 34.6, 74.0, 73.5, 72.8, 71.8, 
OKTrack, 27.3, 65.2, 45.4, 24.9, 44.5, 39.3, 49.7, 40.1, 54.2, 55.1, 56.4, 21.8, 55.4, 60.0, 58.9, 61.7, 
OSTrack, 20.6, 69.9, 41.0, 21.6, 40.6, 37.4, 42.0, 36.0, 44.2, 58.3, 51.6, 21.4, 51.3, 57.8, 56.9, 52.1, 
PUTrack, 28.8, 77.3, 58.2, 36.3, 59.7, 56.8, 60.7, 55.6, 64.0, 70.4, 63.6, 29.7, 59.5, 68.6, 68.4, 72.7, 
SBT, 4.6, 62.7, 19.3, 14.4, 18.0, 17.0, 21.1, 17.1, 33.0, 22.9, 35.4, 8.4, 28.1, 34.6, 32.4, 28.5, 
SMAT, 15.4, 59.3, 35.8, 20.4, 33.6, 35.5, 35.0, 33.2, 44.7, 33.7, 44.7, 19.4, 42.5, 51.1, 47.5, 44.7, 
UncTrack, 27.2, 40.6, 43.7, 30.0, 43.4, 41.5, 44.9, 40.0, 49.8, 52.9, 51.5, 23.2, 58.6, 53.8, 54.3, 59.7, 
UOSTrack, 18.4, 72.0, 39.4, 21.5, 38.9, 36.3, 41.1, 35.4, 46.7, 54.7, 51.9, 21.8, 51.7, 57.2, 56.1, 52.8, 
