Methods, SR, PR, NPR
HIPTrack,64.7,76.4, 76.3
ODTrack,56.3,64.9, 65.6
OKTrack,46.1,51.0, 51.1
OSTrack,41.5,44.8, 47.7
PUTrack,53.8,61.3, 61.2
SBT,25.6,25.2, 27.2
SMAT,33.2,34.1, 41.5
UncTrack,44.5,50.8, 50.0
UOSTrack,41.3,44.2, 47.5
